iter	Passed	Remaining
0	3	1357
1	5	1168
2	8	1086
3	10	1061
4	12	1013
5	15	990
6	17	969
7	19	958
8	22	975
9	25	1009
10	29	1044
11	31	1024
12	33	1004
13	36	1002
14	39	1012
15	42	1019
16	44	1007
17	46	987
18	48	974
19	50	963
20	52	953
21	54	943
22	56	934
23	58	922
24	60	912
25	63	907
26	65	906
27	67	898
28	69	893
29	72	889
30	74	885
31	76	880
32	78	873
33	80	865
34	82	863
35	85	860
36	87	853
37	89	850
38	91	846
39	93	842
40	95	839
41	97	833
42	99	827
43	101	822
44	104	827
45	107	824
46	109	822
47	111	820
48	114	817
49	116	815
50	118	810
51	120	808
52	123	805
53	125	800
54	126	796
55	129	793
56	131	790
57	133	786
58	135	783
59	137	781
60	140	778
61	142	775
62	144	774
63	146	771
64	149	768
65	151	766
66	153	763
67	155	760
68	158	759
69	160	756
70	162	754
71	164	751
72	167	748
73	169	746
74	171	744
75	174	744
76	177	742
77	179	738
78	181	735
79	184	736
80	186	733
81	189	733
82	191	731
83	193	727
84	196	726
85	198	724
86	200	721
87	202	717
88	204	715
89	206	711
90	208	709
91	211	706
92	212	702
93	214	699
94	216	696
95	218	693
96	220	689
97	222	686
98	224	683
99	226	680
100	229	678
101	231	677
102	233	673
103	236	671
104	238	668
105	239	665
106	241	662
107	244	659
108	245	656
109	247	653
110	250	651
111	252	648
112	254	645
113	256	643
114	258	640
115	260	637
116	262	635
117	265	633
118	267	630
119	270	630
120	272	628
121	274	625
122	276	623
123	278	620
124	281	618
125	283	616
126	285	613
127	287	610
128	290	610
129	292	607
130	294	604
131	296	602
132	298	600
133	300	597
134	304	597
135	306	595
136	309	593
137	311	591
138	313	589
139	316	586
140	318	585
141	320	582
142	323	581
143	325	579
144	328	576
145	330	575
146	332	572
147	334	569
148	337	568
149	339	566
150	342	564
151	344	561
152	346	558
153	348	556
154	350	554
155	352	551
156	354	549
157	357	547
158	359	545
159	362	543
160	364	541
161	366	538
162	368	536
163	370	533
164	373	531
165	375	528
166	377	526
167	379	524
168	381	521
169	384	519
170	386	517
171	388	514
172	390	512
173	392	509
174	394	507
175	396	504
176	398	501
177	400	499
178	402	497
179	404	494
180	407	492
181	410	491
182	412	489
183	415	487
184	418	486
185	420	484
186	423	482
187	425	479
188	428	477
189	431	476
190	433	474
191	436	472
192	438	470
193	440	467
194	443	466
195	445	464
196	448	462
197	451	460
198	453	457
199	455	455
200	457	452
201	459	450
202	461	448
203	464	445
204	466	443
205	469	442
206	471	439
207	474	437
208	476	435
209	478	432
210	480	430
211	484	429
212	486	427
213	489	425
214	491	422
215	493	420
216	496	418
217	498	415
218	500	413
219	503	411
220	505	409
221	508	407
222	510	405
223	512	402
224	515	400
225	516	397
226	519	395
227	521	393
228	524	391
229	527	389
230	529	387
231	532	385
232	535	383
233	537	381
234	539	378
235	541	376
236	543	374
237	546	371
238	548	369
239	550	366
240	552	364
241	554	362
242	556	359
243	558	357
244	560	354
245	562	352
246	565	350
247	567	347
248	570	345
249	572	343
250	574	341
251	576	338
252	578	336
253	580	333
254	583	331
255	585	329
256	587	326
257	589	324
258	591	322
259	593	319
260	595	317
261	597	314
262	599	312
263	601	309
264	603	307
265	605	304
266	607	302
267	608	299
268	610	297
269	612	294
270	614	292
271	616	290
272	618	287
273	619	285
274	622	282
275	624	280
276	626	277
277	628	275
278	630	273
279	632	271
280	634	268
281	637	266
282	639	264
283	642	262
284	644	260
285	647	258
286	650	256
287	652	253
288	655	251
289	658	249
290	660	247
291	663	245
292	665	242
293	667	240
294	669	238
295	671	235
296	673	233
297	675	231
298	677	228
299	679	226
300	681	224
301	683	221
302	685	219
303	688	217
304	690	215
305	692	212
306	695	210
307	697	208
308	699	206
309	702	204
310	705	201
311	708	199
312	710	197
313	712	195
314	714	192
315	716	190
316	718	188
317	721	186
318	723	183
319	725	181
320	728	179
321	730	176
322	732	174
323	735	172
324	738	170
325	741	168
326	743	165
327	745	163
328	747	161
329	750	159
330	752	156
331	755	154
332	757	152
333	759	150
334	762	147
335	764	145
336	766	143
337	769	141
338	771	138
339	774	136
340	776	134
341	778	132
342	781	129
343	783	127
344	785	125
345	788	123
346	790	120
347	793	118
348	796	116
349	798	114
350	800	111
351	803	109
352	805	107
353	807	104
354	809	102
355	811	100
356	814	98
357	816	95
358	818	93
359	821	91
360	823	89
361	826	86
362	829	84
363	831	82
364	833	79
365	835	77
366	837	75
367	840	73
368	842	70
369	844	68
370	846	66
371	848	63
372	851	61
373	853	59
374	856	57
375	858	54
376	861	52
377	863	50
378	866	48
379	868	45
380	871	43
381	873	41
382	876	38
383	878	36
384	880	34
385	883	32
386	885	29
387	888	27
388	890	25
389	893	22
390	896	20
391	898	18
392	901	16
393	903	13
394	905	11
395	908	9
396	910	6
397	912	4
398	915	2
399	917	0
